Post Title,Category,Slug,SEO Title,Meta Description,Focus Keyword,Content
Dr. Shantharaj A,Paediatrics,dr-shantharaj-a-paediatrics,Dr. Shantharaj A – Paediatrics at Maiya Hospital,"Meet Dr. Shantharaj A, a Paediatrics specialist with 35 years of experience. Available Mon, Tue, Thu, Fri from 10AM - 2PM at Maiya Hospital.",Dr. Shantharaj A Paediatrics in Bangalore,"**Speciality**: Paediatrics
**Degrees**: MBBS, MD, DCH, FIAP
**Experience**: 35 Years
**Visiting Days**: Mon, Tue, Thu, Fri
**Timings**: 10AM - 2PM
**Consultation Fee**: ₹600
Dr. Shantharaj A is a highly experienced paediatrics specialist with over 35 years of service. Available during Mon, Tue, Thu, Fri from 10AM - 2PM at Maiya Hospital."
Dr. Sudhamathy Kannan,Obstetrics & Gynaecology,dr-sudhamathy-kannan-obstetrics-&-gynaecology,Dr. Sudhamathy Kannan – Obstetrics & Gynaecology at Maiya Hospital,"Meet Dr. Sudhamathy Kannan, a Obstetrics & Gynaecology specialist with 35 years of experience. Available Mon–Sat from 11AM - 2PM at Maiya Hospital.",Dr. Sudhamathy Kannan Obstetrics & Gynaecology in Bangalore,"**Speciality**: Obstetrics & Gynaecology
**Degrees**: MBBS, DGO
**Experience**: 35 Years
**Visiting Days**: Mon–Sat
**Timings**: 11AM - 2PM
**Consultation Fee**: ₹600
Dr. Sudhamathy Kannan is a highly experienced obstetrics & gynaecology specialist with over 35 years of service. Available during Mon–Sat from 11AM - 2PM at Maiya Hospital."
Dr. Sudha Gujar,Anaesthesia,dr-sudha-gujar-anaesthesia,Dr. Sudha Gujar – Anaesthesia at Maiya Hospital,"Meet Dr. Sudha Gujar, a Anaesthesia specialist with 35 years of experience. Available Mon–Sat from 10AM - 2PM at Maiya Hospital.",Dr. Sudha Gujar Anaesthesia in Bangalore,"**Speciality**: Anaesthesia
**Degrees**: MBBS, DA
**Experience**: 35 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 2PM
**Consultation Fee**: ₹600
Dr. Sudha Gujar is a highly experienced anaesthesia specialist with over 35 years of service. Available during Mon–Sat from 10AM - 2PM at Maiya Hospital."
Dr. Mahendra Jain,Urology,dr-mahendra-jain-urology,Dr. Mahendra Jain – Urology at Maiya Hospital,"Meet Dr. Mahendra Jain, a Urology specialist with 25 years of experience. Available Mon–Sat from 4PM - 7PM at Maiya Hospital.",Dr. Mahendra Jain Urology in Bangalore,"**Speciality**: Urology
**Degrees**: MBBS, MS, M.CH, DNB
**Experience**: 25 Years
**Visiting Days**: Mon–Sat
**Timings**: 4PM - 7PM
**Consultation Fee**: ₹600
Dr. Mahendra Jain is a highly experienced urology specialist with over 25 years of service. Available during Mon–Sat from 4PM - 7PM at Maiya Hospital."
Dr. Raghuveer Karanth,General Medicine,dr-raghuveer-karanth-general-medicine,Dr. Raghuveer Karanth – General Medicine at Maiya Hospital,"Meet Dr. Raghuveer Karanth, a General Medicine specialist with 20 years of experience. Available Mon–Sat from 12PM - 2PM & 8PM - 10PM at Maiya Hospital.",Dr. Raghuveer Karanth General Medicine in Bangalore,"**Speciality**: General Medicine
**Degrees**: MBBS, DNB
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 12PM - 2PM & 8PM - 10PM
**Consultation Fee**: ₹400
Dr. Raghuveer Karanth is a highly experienced general medicine specialist with over 20 years of service. Available during Mon–Sat from 12PM - 2PM & 8PM - 10PM at Maiya Hospital."
Dr. Usha Nandini,Dentistry,dr-usha-nandini-dentistry,Dr. Usha Nandini – Dentistry at Maiya Hospital,"Meet Dr. Usha Nandini, a Dentistry specialist with 15 years of experience. Available Mon–Sat from 10AM - 1PM & 5PM - 7PM at Maiya Hospital.",Dr. Usha Nandini Dentistry in Bangalore,"**Speciality**: Dentistry
**Degrees**: BDS
**Experience**: 15 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 1PM & 5PM - 7PM
**Consultation Fee**: ₹400
Dr. Usha Nandini is a highly experienced dentistry specialist with over 15 years of service. Available during Mon–Sat from 10AM - 1PM & 5PM - 7PM at Maiya Hospital."
Dr. Akshay Dhanda,Orthopaedics,dr-akshay-dhanda-orthopaedics,Dr. Akshay Dhanda – Orthopaedics at Maiya Hospital,"Meet Dr. Akshay Dhanda, a Orthopaedics specialist with 10 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Akshay Dhanda Orthopaedics in Bangalore,"**Speciality**: Orthopaedics
**Degrees**: MBBS, MS, DNB(ORTHO), FRGUHS
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹400
Dr. Akshay Dhanda is a highly experienced orthopaedics specialist with over 10 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Manohar Rao H R,Orthopaedics,dr-manohar-r-orthopaedics,Dr. Manohar Rao H R – Orthopaedics at Maiya Hospital,"Meet Dr. Manohar Rao H R, a Orthopaedics specialist with 9 years of experience. Available Mon–Sat from 4PM - 7PM at Maiya Hospital.",Dr. Manohar Rao H R Orthopaedics in Bangalore,"**Speciality**: Orthopaedics
**Degrees**: MBBS, MS, DNB(ORTHO), FIJR
**Experience**: 9 Years
**Visiting Days**: Mon–Sat
**Timings**: 4PM - 7PM
**Consultation Fee**: ₹400
Dr. Manohar Rao H R is a highly experienced orthopaedics specialist with over 9 years of service. Available during Mon–Sat from 4PM - 7PM at Maiya Hospital."
Dr. Sujayendra D M,Orthopaedics,dr-sujayendra-m-orthopaedics,Dr. Sujayendra D M – Orthopaedics at Maiya Hospital,"Meet Dr. Sujayendra D M, a Orthopaedics specialist with 10 years of experience. Available Mon–Sat from Appointment Only at Maiya Hospital.",Dr. Sujayendra D M Orthopaedics in Bangalore,"**Speciality**: Orthopaedics
**Degrees**: MBBS, MS, DNB(ORTHO)
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: Appointment Only
**Consultation Fee**: ₹600
Dr. Sujayendra D M is a highly experienced orthopaedics specialist with over 10 years of service. Available during Mon–Sat from Appointment Only at Maiya Hospital."
Dr. Yogesh,Dermatology,dr-yogesh-yogesh-dermatology,Dr. Yogesh – Dermatology at Maiya Hospital,"Meet Dr. Yogesh, a Dermatology specialist with 10 years of experience. Available Mon–Sat (Except Tuesday) from 12PM - 2PM at Maiya Hospital.",Dr. Yogesh Dermatology in Bangalore,"**Speciality**: Dermatology
**Degrees**: MBBS, MD
**Experience**: 10 Years
**Visiting Days**: Mon–Sat (Except Tuesday)
**Timings**: 12PM - 2PM
**Consultation Fee**: ₹600
Dr. Yogesh is a highly experienced dermatology specialist with over 10 years of service. Available during Mon–Sat (Except Tuesday) from 12PM - 2PM at Maiya Hospital."
Dr. Yashaswi,E.N.T,dr-yashaswi-yashaswi-e.n.t,Dr. Yashaswi – E.N.T at Maiya Hospital,"Meet Dr. Yashaswi, a E.N.T specialist with 15 years of experience. Available Mon–Tue, Thu–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Yashaswi E.N.T in Bangalore,"**Speciality**: E.N.T
**Degrees**: MBBS, DLO
**Experience**: 15 Years
**Visiting Days**: Mon–Tue, Thu–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹600
Dr. Yashaswi is a highly experienced e.n.t specialist with over 15 years of service. Available during Mon–Tue, Thu–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Chethan Pai,E.N.T,dr-chethan-pai-e.n.t,Dr. Chethan Pai – E.N.T at Maiya Hospital,"Meet Dr. Chethan Pai, a E.N.T specialist with 15 years of experience. Available Mon–Sat from 11AM - 1PM at Maiya Hospital.",Dr. Chethan Pai E.N.T in Bangalore,"**Speciality**: E.N.T
**Degrees**: MBBS, DLO
**Experience**: 15 Years
**Visiting Days**: Mon–Sat
**Timings**: 11AM - 1PM
**Consultation Fee**: ₹500

Dr. Chethan Pai is a highly experienced e.n.t specialist with over 15 years of service. Available during Mon–Sat from 11AM - 1PM at Maiya Hospital."
Dr. Chandra Shekar H S,Orthopaedics,dr-chandra-s-orthopaedics,Dr. Chandra Shekar H S – Orthopaedics at Maiya Hospital,"Meet Dr. Chandra Shekar H S, a Orthopaedics specialist with 40 years of experience. Available Mon–Sat from 12:30PM - 2:30PM at Maiya Hospital.",Dr. Chandra Shekar H S Orthopaedics in Bangalore,"**Speciality**: Orthopaedics
**Degrees**: MBBS, MS, FIJR
**Experience**: 40 Years
**Visiting Days**: Mon–Sat
**Timings**: 12:30PM - 2:30PM
**Consultation Fee**: ₹600
Dr. Chandra Shekar H S is a highly experienced orthopaedics specialist with over 40 years of service. Available during Mon–Sat from 12:30PM - 2:30PM at Maiya Hospital."
Dr. Rahna Ameen,Physiotherapy,dr-rahna-ameen-physiotherapy,Dr. Rahna Ameen – Physiotherapy at Maiya Hospital,"Meet Dr. Rahna Ameen, a Physiotherapy specialist with 10 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. Rahna Ameen Physiotherapy in Bangalore,"**Speciality**: Physiotherapy
**Degrees**: BPT, MIAP
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹500
Dr. Rahna Ameen is a highly experienced physiotherapy specialist with over 10 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Naresh Kumar,Physiotherapy,dr-naresh-kumar-physiotherapy,Dr. Naresh Kumar – Physiotherapy at Maiya Hospital,"Meet Dr. Naresh Kumar, a Physiotherapy specialist with 10 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. Naresh Kumar Physiotherapy in Bangalore,"**Speciality**: Physiotherapy
**Degrees**: BPT, MIAP
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹500

Dr. Naresh Kumar is a highly experienced physiotherapy specialist with over 10 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Krishnappa R,Surgical Oncology,dr-krishnappa-r-surgical-oncology,Dr. Krishnappa R – Surgical Oncology at Maiya Hospital,"Meet Dr. Krishnappa R, a Surgical Oncology specialist with 35 years of experience. Available Mon–Sat from 4PM - 6PM at Maiya Hospital.",Dr. Krishnappa R Surgical Oncology in Bangalore,"**Speciality**: Surgical Oncology
**Degrees**: MBBS, MS, MCH
**Experience**: 35 Years
**Visiting Days**: Mon–Sat
**Timings**: 4PM - 6PM
**Consultation Fee**: ₹600
Dr. Krishnappa R is a highly experienced surgical oncology specialist with over 35 years of service. Available during Mon–Sat from 4PM - 6PM at Maiya Hospital."
Dr. Ananth Krishna M.A,Surgical Gastroenterology,dr-ananth-m.a-surgical-gastroenterology,Dr. Ananth Krishna M.A – Surgical Gastroenterology at Maiya Hospital,"Meet Dr. Ananth Krishna M.A, a Surgical Gastroenterology specialist with 15 years of experience. Available Mon–Sat from Appointment Only at Maiya Hospital.",Dr. Ananth Krishna M.A Surgical Gastroenterology in Bangalore,"**Speciality**: Surgical Gastroenterology
**Degrees**: MBBS, MS, FSGE
**Experience**: 15 Years
**Visiting Days**: Mon–Sat
**Timings**: Appointment Only
**Consultation Fee**: ₹600
Dr. Ananth Krishna M.A is a highly experienced surgical gastroenterology specialist with over 15 years of service. Available during Mon–Sat from Appointment Only at Maiya Hospital."
Dr. P.S. Prabhakaran,Surgical Oncology,dr-p.s.-prabhakaran-surgical-oncology,Dr. P.S. Prabhakaran – Surgical Oncology at Maiya Hospital,"Meet Dr. P.S. Prabhakaran, a Surgical Oncology specialist with 45 years of experience. Available Mon–Sat from 11AM - 2PM at Maiya Hospital.",Dr. P.S. Prabhakaran Surgical Oncology in Bangalore,"**Speciality**: Surgical Oncology
**Degrees**: MBBS, MS
**Experience**: 45 Years
**Visiting Days**: Mon–Sat
**Timings**: 11AM - 2PM
**Consultation Fee**: ₹600

Dr. P.S. Prabhakaran is a highly experienced surgical oncology specialist with over 45 years of service. Available during Mon–Sat from 11AM - 2PM at Maiya Hospital."
Dr. Pavan Prasad,Surgical Oncology,dr-pavan-prasad-surgical-oncology,Dr. Pavan Prasad – Surgical Oncology at Maiya Hospital,"Meet Dr. Pavan Prasad, a Surgical Oncology specialist with 20 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Pavan Prasad Surgical Oncology in Bangalore,"**Speciality**: Surgical Oncology
**Degrees**: MBBS, MS, DNB, MCH
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹600

Dr. Pavan Prasad is a highly experienced surgical oncology specialist with over 20 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Sushma B N,Obstetrics & Gynaecology,dr-sushma-n-obstetrics-&-gynaecology,Dr. Sushma B N – Obstetrics & Gynaecology at Maiya Hospital,"Meet Dr. Sushma B N, a Obstetrics & Gynaecology specialist with 10 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Sushma B N Obstetrics & Gynaecology in Bangalore,"**Speciality**: Obstetrics & Gynaecology
**Degrees**: MBBS, MS, DGO
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹500

Dr. Sushma B N is a highly experienced obstetrics & gynaecology specialist with over 10 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Ishwarya B,Obstetrics & Gynaecology,dr-ishwarya-b-obstetrics-&-gynaecology,Dr. Ishwarya B – Obstetrics & Gynaecology at Maiya Hospital,"Meet Dr. Ishwarya B, a Obstetrics & Gynaecology specialist with 10 years of experience. Available Mon–Sat from 6PM - 8PM at Maiya Hospital.",Dr. Ishwarya B Obstetrics & Gynaecology in Bangalore,"**Speciality**: Obstetrics & Gynaecology
**Degrees**: MBBS, MS
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 6PM - 8PM
**Consultation Fee**: ₹500

Dr. Ishwarya B is a highly experienced obstetrics & gynaecology specialist with over 10 years of service. Available during Mon–Sat from 6PM - 8PM at Maiya Hospital."
Dr. Lakshmi V Pandit,Psychiatry,dr-lakshmi-pandit-psychiatry,Dr. Lakshmi V Pandit – Psychiatry at Maiya Hospital,"Meet Dr. Lakshmi V Pandit, a Psychiatry specialist with 20 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Lakshmi V Pandit Psychiatry in Bangalore,"**Speciality**: Psychiatry
**Degrees**: MBBS, DPM, BPM, DNB
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹800

Dr. Lakshmi V Pandit is a highly experienced psychiatry specialist with over 20 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
